champion,Cluster,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Amumu,1,0.14548511085611576,0.19240707773705346,0.040892935,0.556628535,0.7289221450935524,0.2772097724680125,0.07809593,0.4274715593734997,0.13108541627188947,0.39876590101384224,0.17444311244018085,0.20151229887857075,0.22042611967155046,0.2668719811454475,0.297374762,0.001853845,0.14970906547357996,0.003462301,0.007306954,0.7175540340207527,0.7012139423998459,0.7107790707602202,0.9227431068771105,0.4464180722320834,0.1933749965693683,0.10463938974041584,0.20442440835451797,0.24604263603672055,0.43379334182749285,0.17172885422542375,0.23526516094199315,0.5198146786418351,0.31923580205939633,0.7565685410941181,0.5636911736286541,0.5198195783942816,0.2843915220819635,0.10303567069418748
Belveth,2,0.010954161,0.08473196,0.10721912052827587,0.10417579089148529,0.27803309808336163,0.674359643,0.46306708596102064,0.2602297184137181,0.2949387465319971,0.2752940599930642,0.6816267514620443,0.7950009231682627,0.4040207552615682,0.270762923,0.2338577402333542,3.6944646799843845e-05,0.18198396248159474,4.409391860577646e-05,5.102182916644635e-05,0.2860985005369685,0.7555222877461413,0.597017934,0.548990061,0.447548936,0.36781918194235086,0.2502122892856635,0.2534510504665691,0.4274263087201656,0.18154548544368765,0.023534759659967337,0.5940436280147443,0.5386281073020606,0.48311333450184857,0.2965331951061865,0.038932112,1,0.3492266436730421,0.061207369
Briar,0,0.051743099985989825,0.1440707048840449,0.07659465,0.21948788330655483,1,0.7774456289612766,0,0.541192775,0.35063446289810124,0.4053776619573337,0.6904521708649636,0.602347641,0.4544895042414119,0.4532084670967074,0.48521226464488426,0,0.5949615053326435,2.2568388221735522e-05,8.500628817898075e-05,0.9652557070345804,0.8247708874437941,0.8498415806171945,0.9015337278706752,0.4080566952629616,0.30160238382471016,0.3000231576781195,0.3620053854374946,0.4698546829813959,0.5380491811154746,0.077336039,0.6353099586581011,0.22960551512830352,0.3775607461173679,0.545001536,0.4340087442878421,0.17798764421397384,0.478324603,0.2355786729913466
Diana,0,0,0.030476948442471598,0.026141927641432125,0.20963117073612086,0.7052888337818302,0.6461887930963512,0.1788809197657648,0.3750639506848028,0.3793604529092197,0.46181426929793223,0.5892946487910856,0.5926676094331429,0.46891423280175504,0.47961475496594813,0.47162719955762683,0.000149248,0.069043734,0.001424754,0.004922568,0.7681560404121093,0.5574798059138218,0.4753034502164313,0.3992464710442501,0.5064843772415575,0.3627691626912428,0.3243336496217174,0.39799482523332824,0.5008471884858084,0.3762120254989556,0.22423206678186086,0.5397509648127606,0.054992929,0.3761726055908611,0.5960831536598179,0.4328245164297366,0.5396759918997975,0.5421907132537036,0.066307983
Ekko,0,0.01158441,0.090505659,0.18430870600455068,0.18093546696443505,0.4966661202380114,0.7338958621312308,0.2906846271135637,0.4379948894694281,0.45107207942669414,0.25969248720233307,0.7564313923073419,0.7502803338363957,0.5550799397917754,0.4353733815558187,0.4521112139266608,0,0.2105035174985772,0.000809498,0.003061114,0.5039655059548276,0.759654164,0.7447592329705983,0.19356909394329067,0.5373123524155181,0.3506624841688626,0.39766732740504845,0.4315667527301382,0.5365403523444987,0.330038803,0.33640218385775195,0.4307781942920754,0.9312932196699798,0.39557407848082804,0.30017178094487473,0.34543619911478196,0.3550631004607028,0.4930616876079912,0.006592763
Elise,2,0.039542812764032674,0.12719805373072243,0.015560706657379367,0.26185599736450466,0.5102065610984503,0.7189317389948249,0.3081561154071273,0.5337440557087985,0.32511195586777547,0.073113959,0.7130340737787965,0.6968955936843906,0.43229213511023534,0.42283558374471825,0.41846354526011426,0,0.14031949238304217,0.001632246,0.0061722,0.4658380526488153,0.5797820239991692,0.4910595483197344,0.5279585318193607,0.8104323060372292,0.4722515730266408,0.26811875494307275,0.22908565605077608,0.4209104607884562,0.36143156835833135,0.004043682,0.4436097486368805,0.48378031301257096,0.12896850882292318,0.4949252407815057,0.27249269979057605,0.524040841,0.4807138583274504,0
Evelynn,2,0,0.053714196448933584,0.03364079,0.19214556695919288,0.3665100030336055,0.8545427045052509,0.48038034068453705,0.5956815907555524,0.31608856036411254,0.143658257,0.9485680237617365,0.9834221293050689,0.41600199167536633,0.49006426388441177,0.49921292419839064,0,0.17544389642884947,0.003022828,0.011429621232259648,0.3872011598269731,0.6201380522392183,0.5639348431453115,0.44438045453459285,0.560320821,0.4613775089148935,0.25718443760695026,0.36250136941294875,0.5192514063887589,0.2925102275224748,0.31019782107066296,0.7574095033783281,0.6606013717131815,0.19290345605269127,0.5732203218131744,0.2835759749057856,0.448320258,0.5407259235038595,0
FiddleSticks,1,0.4150393204595876,0.2590059879906419,0.3839059298916201,0.44004681980931026,0.5102990001853662,0.38025095272829723,0.21240870972803128,0.3854867091251415,0.22523518001582268,0.17304265867057697,0.3523751904396949,0.3450156296020282,0.33289936970376877,0.35601806884053655,0.3867025421393973,0,0.2728275100499294,0.002743346,0.010373334688574612,0.5538529135700727,0.7556072482245181,0.738368908,0.7475935160295101,0.633926671,0.3263026553056556,0.19082792066817073,0.3605703560263087,0.3172900260552778,0.1489952784629397,0.064482323,0.2261943402311062,0.029776104012829263,0.085811062,0.4375567511467606,0.3799761388814492,0.13921284260057654,0.4073021573141604,0
Gragas,2,0.082812189,0.1664880942990299,0.17626652433147966,0.3429947866020791,0.41037742513219166,0.5851967003130958,0.3668013591463699,0.49044225466617375,0.2859098552593074,0.23679311961706753,0.5703172996255129,0.5855546882405018,0.40652278208576065,0.4383630188804632,0.4776707462891611,0,0.21094202186493033,0.000847188,0.003202872,0.42861810096622244,0.6425453289556454,0.6253439797211466,0.9020966319594743,0.716337188,0.33029654171382017,0.2481288399003242,0.3553649981272333,0.3325947,0.29191463,0.088055656,0.3546831036648072,0.31657730116175153,0.2594160609827298,0.6524056722253899,0.14834666873818586,0.3849327293788405,0.4757075213470483,0.018243466
Graves,2,0.002971673,0.083882997,0.20060632524928873,0.109544066,0.535707086,0.7603671058360431,0.23081340616644597,0.3689105346602246,0.5065592427394151,0.13067654563223804,0.7767208244214169,0.7238118600508194,0.5760715742071856,0.49095006691558823,0.4918296433085317,0,0.06396425,0,0,0.5471283202577857,0.4888565707455842,0.3897262258179589,0.000871366,0.7197606640060119,0.40625133157141535,0.45349090477440424,0.5786011623996208,0.3487751440184749,0.10578658722179124,0.30064924348634886,0.3962073707369673,0.3445986994399798,0.15944483184265454,0.39748565232132504,0.3587918044104247,0.38817030407567654,0.5722178095189487,0.007103033
