champion,Cluster,highestCrowdControlScore,timeCCingOthers,totalTimeCCDealt,assists,deaths,kills,kda,takedowns,doubleKills,damageSelfMitigated,killingSprees,largestKillingSpree,largestMultiKill,damagePerMinute,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalHeal,effectiveHealAndShielding,totalHealsOnTeammates,totalTimeSpentDead,damageTakenOnTeamPercentage,totalDamageTaken,immobilizeAndKillWithAlly,killAfterHiddenWithAlly,killParticipation,multikills,multikillsAfterAggressiveFlash,outnumberedKills,skillshotsDodged,skillshotsHit,soloKills,survivedSingleDigitHpCount,survivedThreeImmobilizesInFight,teamBaronKills,teamElderDragonKills,teamRiftHeraldKills,teamDamagePercentage,tookLargeDamageSurvived
Amumu,6,0.1454851108561157,0.1924070777370534,0.0408929347959439,0.5566285354302081,0.7289221450935524,0.2772097724680125,0.0780959301753855,0.4274715593734997,0.1310854162718894,0.3987659010138422,0.1744431124401808,0.2015122988785707,0.2204261196715504,0.2668719811454476,0.297374762462375,0.0018538451752798,0.1497090654735799,0.0034623012371508,0.0073069537846135,0.7175540340207527,0.7012139423998459,0.7107790707602201,0.9227431068771108,0.4464180722320834,0.1933749965693683,0.1046393897404158,0.2044244083545179,0.2460426360367205,0.4337933418274928,0.1717288542254237,0.2352651609419932,0.5198146786418351,0.3192358020593964,0.7565685410941181,0.5636911736286541,0.5198195783942816,0.2843915220819635,0.1030356706941874
Belveth,2,0.0109541605493022,0.0847319601636613,0.1072191205282758,0.1041757908914853,0.2780330980833616,0.674359642881224,0.4630670859610206,0.2602297184137181,0.294938746531997,0.2752940599930642,0.6816267514620443,0.7950009231682627,0.4040207552615682,0.270762923374664,0.2338577402333542,3.6944646799843845e-05,0.1819839624815947,4.409391860577646e-05,5.102182916644635e-05,0.2860985005369685,0.7555222877461413,0.5970179336354989,0.5489900613095581,0.447548936301698,0.3678191819423508,0.2502122892856635,0.2534510504665691,0.4274263087201656,0.1815454854436876,0.0235347596599673,0.5940436280147444,0.5386281073020606,0.4831133345018487,0.2965331951061865,0.0389321119337432,1.0,0.3492266436730421,0.0612073690450889
Briar,2,0.0517430999859898,0.1440707048840449,0.0765946502446673,0.2194878833065549,1.0,0.7774456289612766,0.0,0.541192775434371,0.3506344628981012,0.4053776619573337,0.6904521708649636,0.602347641083151,0.4544895042414119,0.4532084670967075,0.4852122646448842,0.0,0.5949615053326434,2.256838822173552e-05,8.500628817898075e-05,0.9652557070345804,0.8247708874437941,0.8498415806171943,0.9015337278706754,0.4080566952629616,0.3016023838247101,0.3000231576781195,0.3620053854374946,0.4698546829813959,0.5380491811154746,0.0773360393386921,0.6353099586581012,0.2296055151283035,0.377560746117368,0.545001535846589,0.4340087442878421,0.1779876442139738,0.478324603155589,0.2355786729913466
Diana,1,0.0,0.0304769484424715,0.0261419276414321,0.2096311707361209,0.7052888337818302,0.6461887930963512,0.1788809197657648,0.3750639506848028,0.3793604529092196,0.4618142692979322,0.5892946487910856,0.5926676094331429,0.468914232801755,0.4796147549659482,0.4716271995576268,0.0001492476674108,0.0690437341811624,0.0014247540372313,0.0049225682796662,0.7681560404121093,0.5574798059138218,0.4753034502164311,0.3992464710442502,0.5064843772415575,0.3627691626912428,0.3243336496217174,0.3979948252333282,0.5008471884858084,0.3762120254989556,0.2242320667818608,0.5397509648127607,0.054992929322688,0.3761726055908612,0.5960831536598179,0.4328245164297366,0.5396759918997975,0.5421907132537036,0.0663079831321797
Ekko,3,0.0115844103566756,0.0905056593811233,0.1843087060045506,0.180935466964435,0.4966661202380114,0.7338958621312308,0.2906846271135637,0.4379948894694281,0.451072079426694,0.259692487202333,0.7564313923073419,0.7502803338363957,0.5550799397917754,0.4353733815558188,0.4521112139266608,0.0,0.2105035174985771,0.0008094980911368,0.0030611140706428,0.5039655059548276,0.759654164475028,0.7447592329705982,0.1935690939432907,0.5373123524155181,0.3506624841688626,0.3976673274050484,0.4315667527301382,0.5365403523444987,0.33003880344795,0.3364021838577519,0.4307781942920755,0.9312932196699798,0.3955740784808281,0.3001717809448747,0.3454361991147819,0.3550631004607028,0.4930616876079912,0.0065927631412492
Elise,2,0.0395428127640326,0.1271980537307224,0.0155607066573793,0.2618559973645047,0.5102065610984503,0.7189317389948249,0.3081561154071273,0.5337440557087985,0.3251119558677754,0.0731139585132905,0.7130340737787965,0.6968955936843906,0.4322921351102353,0.4228355837447183,0.4184635452601142,0.0,0.1403194923830421,0.0016322464376018,0.0061722002247605,0.4658380526488153,0.5797820239991692,0.4910595483197343,0.5279585318193608,0.8104323060372292,0.4722515730266408,0.2681187549430727,0.229085656050776,0.4209104607884562,0.3614315683583313,0.0040436824544532,0.4436097486368806,0.4837803130125709,0.1289685088229232,0.4949252407815057,0.272492699790576,0.524040840676367,0.4807138583274504,0.0
Evelynn,3,0.0,0.0537141964489335,0.0336407901961176,0.1921455669591929,0.3665100030336055,0.8545427045052509,0.480380340684537,0.5956815907555524,0.3160885603641125,0.143658257313746,0.9485680237617364,0.9834221293050688,0.4160019916753663,0.4900642638844119,0.4992129241983906,0.0,0.1754438964288494,0.0030228278149659,0.0114296212322596,0.3872011598269731,0.6201380522392183,0.5639348431453114,0.4443804545345929,0.560320820973049,0.4613775089148935,0.2571844376069502,0.3625013694129487,0.5192514063887589,0.2925102275224748,0.3101978210706629,0.7574095033783284,0.6606013717131815,0.1929034560526913,0.5732203218131744,0.2835759749057856,0.448320257655733,0.5407259235038595,0.0
FiddleSticks,2,0.4150393204595876,0.2590059879906419,0.3839059298916201,0.4400468198093104,0.5102990001853662,0.3802509527282972,0.2124087097280312,0.3854867091251415,0.2252351800158226,0.1730426586705769,0.3523751904396949,0.3450156296020282,0.3328993697037687,0.3560180688405366,0.3867025421393973,0.0,0.2728275100499293,0.0027433459851967,0.0103733346885746,0.5538529135700727,0.7556072482245181,0.7383689084377129,0.7475935160295102,0.633926671123195,0.3263026553056556,0.1908279206681707,0.3605703560263087,0.3172900260552778,0.1489952784629397,0.0644823231068406,0.2261943402311062,0.0297761040128292,0.085811061693717,0.4375567511467606,0.3799761388814492,0.1392128426005765,0.4073021573141604,0.0
Gragas,2,0.0828121892031666,0.1664880942990299,0.1762665243314796,0.3429947866020791,0.4103774251321916,0.5851967003130958,0.3668013591463699,0.4904422546661737,0.2859098552593073,0.2367931196170675,0.5703172996255129,0.5855546882405018,0.4065227820857606,0.4383630188804633,0.4776707462891611,0.0,0.2109420218649302,0.0008471884202154,0.003202872254037,0.4286181009662224,0.6425453289556454,0.6253439797211465,0.9020966319594744,0.716337187616561,0.3302965417138201,0.2481288399003242,0.3553649981272333,0.332594700379548,0.291914630117987,0.0880556559745287,0.3546831036648072,0.3165773011617515,0.2594160609827298,0.6524056722253899,0.1483466687381858,0.3849327293788405,0.4757075213470483,0.0182434662585891
Graves,3,0.0029716728548858,0.0838829970013454,0.2006063252492887,0.109544066214147,0.535707085901679,0.7603671058360431,0.2308134061664459,0.3689105346602246,0.506559242739415,0.130676545632238,0.7767208244214169,0.7238118600508194,0.5760715742071856,0.4909500669155883,0.4918296433085317,0.0,0.0639642502335249,0.0,0.0,0.5471283202577857,0.4888565707455842,0.3897262258179588,0.0008713655035827,0.7197606640060119,0.4062513315714153,0.4534909047744042,0.5786011623996208,0.3487751440184749,0.1057865872217912,0.3006492434863488,0.3962073707369674,0.3445986994399798,0.1594448318426545,0.397485652321325,0.3587918044104247,0.3881703040756765,0.5722178095189487,0.0071030329193977
