champion,takedownsBeforeJungleMinionSpawn,maxCsAdvantageOnLaneOpponent,bountyLevel,champExperience,champLevel,firstBloodAssist,firstBloodKill,longestTimeSpentLiving,earliestBaron,controlWardTimeCoverageInRiverOrEnemyHalf,baronBuffGoldAdvantageOverThreshold,earliestDragonTakedown,earliestElderDragon,earlyLaningPhaseGoldExpAdvantage,fastestLegendary,junglerKillsEarlyJungle,killsOnLanersEarlyJungleAsJungler,laningPhaseGoldExpAdvantage,maxCsAdvantageOnLaneOpponent.1,maxLevelLeadLaneOpponent,bountyGold,buffsStolen,acesBefore15Minutes,epicMonsterKillsNearEnemyJungler,epicMonsterKillsWithin30SecondsOfSpawn,epicMonsterSteals,initialBuffCount,initialCrabCount,jungleCsBefore10Minutes,junglerTakedownsNearDamagedEpicMonster,killsNearEnemyTurret,killsUnderOwnTurret,killsWithHelpFromEpicMonster,maxKillDeficit,moreEnemyJungleThanOpponent,multiTurretRiftHeraldCount,perfectDragonSoulsTaken,perfectGame,quickFirstTurret,quickSoloKills,scuttleCrabKills,teamElderDragonKills,teamRiftHeraldKills,visionScorePerMinute,voidMonsterKill,goldPerMinute,enemy_ally_ratio,monster_minion_ratio,gpm_per_Alliedjg,Cluster
Talon,0.0027305187985717265,0.20630486313975588,0.21860653524169588,0.38420729238950546,0.7836798991808444,0.09829867674858223,0.13799621928166353,0.21137265611423017,0.6623017951109368,0.7623815541733179,0.7325141776937618,0.3646319961115,0.9866058381587955,0.13610586011342155,0.8904345758848733,0.036672967863894144,0.18819575719386683,0.23440453686200377,0.20630486313975588,0.23629489603024575,0.025535023465363876,0.18262969964293213,0.000945179584120983,0.0666351606805293,0.08733459357277884,0.026780088216761182,0.4959829867674858,0.5108695652173914,0.5611950986540505,0.04891304347826087,0.13622400756143668,0.07729468599033816,0.04619565217391304,0.05016453126093956,0.6950723465495956,0.010396975425330813,0.05103969754253308,0.0,0.002835538752362949,0.03544423440453686,0.272819335673778,0.006931316950220542,0.21691871455576558,0.17209654459373477,0.3329609898608008,0.4244929286319914,0.06238271744664615,0.20271785253702201,0.03658580230720699,0
Belveth,0.003542990722477899,0.15279636756315326,0.15091575091575088,0.3295883948736228,0.7172255095332019,0.08579881656804733,0.1873767258382643,0.20827921296964447,0.6571247830271857,0.7652445784478783,0.7243589743589743,0.3854863014470368,0.9941819259716749,0.1341222879684418,0.907110877670387,0.0368836291913215,0.17850098619329388,0.20808678500986194,0.15279636756315326,0.192603550295858,0.03128581066244453,0.14617576156037693,0.0009861932938856016,0.07901873767258383,0.1076923076923077,0.025969756738987507,0.5054240631163708,0.522189349112426,0.5442749735173449,0.04117357001972387,0.10237919132149902,0.0574183651106728,0.038708086785009865,0.0407261304697202,0.6939423474977037,0.01282051282051282,0.03057199211045365,0.0,0.007889546351084813,0.0004930966469428008,0.24246266553958856,0.0023011176857330702,0.3081854043392505,0.17367192127218511,0.41222879684418146,0.40491291425301895,0.05845590553480963,0.21081815269938617,0.04480698724399865,0
Diana,0.0023402523402523386,0.19278866651066937,0.14720041862899003,0.35994373717175554,0.7572039072039072,0.0815018315018315,0.11172161172161173,0.1943305912349064,0.6351481919484921,0.7397509225834714,0.7293956043956044,0.3231415229785305,0.9838897829578839,0.14652014652014653,0.9501647804548522,0.028388278388278388,0.1581196581196581,0.21794871794871795,0.19278866651066937,0.21465201465201467,0.029282983692923745,0.14692714692714692,0.0027472527472527475,0.0747481684981685,0.10970695970695972,0.020146520146520148,0.5027472527472527,0.5192307692307693,0.5886362050418578,0.037316849816849816,0.09323489010989011,0.05535205535205535,0.036973443223443224,0.04924704924704923,0.6888822312213941,0.007326007326007326,0.06318681318681318,0.0009157509157509158,0.0027472527472527475,0.006295787545787546,0.24718733647305072,0.006715506715506715,0.2403846153846154,0.1791093967214029,0.38045288045288045,0.3997933614239554,0.05039542902787649,0.19683803429682817,0.034316578452788724,0
Karthus,0.005719408891362142,0.20958208086027152,0.158669210589077,0.3775333309635703,0.7799109627156372,0.11352253756260434,0.10434056761268781,0.1741811712453839,0.6414790416060899,0.7805559787134525,0.7337228714524207,0.3773662557860261,0.9929739921353583,0.18864774624373956,0.9551600156222081,0.03806343906510851,0.1896679651270636,0.2679465776293823,0.20958208086027152,0.22629382303839735,0.04122939944259313,0.169449081803005,0.0037562604340567614,0.06834307178631052,0.0926544240400668,0.015859766277128547,0.5244156928213689,0.5062604340567612,0.6069548249786616,0.045492487479131885,0.11341819699499166,0.11815989612316823,0.053735392320534224,0.05203116304952697,0.7050478560078146,0.01001669449081803,0.05759599332220367,0.0,0.001669449081803005,0.00041736227045075126,0.23694252325304072,0.00333889816360601,0.22746243739565944,0.16062361643234085,0.3791925937168007,0.4337900581166206,0.0543375747010128,0.19506398420217233,0.035908445359877195,0
Udyr,0.0034838491459496,0.1631924087557416,0.1062752772341813,0.36433602643279656,0.7654185692541857,0.08127853881278539,0.08401826484018265,0.2189392342817,0.6236493698284271,0.8428367275867039,0.7251141552511415,0.3064955803810932,0.9903649368748303,0.108675799086758,0.9589500815219679,0.0263013698630137,0.1202435312024353,0.1689497716894977,0.1631924087557416,0.2009132420091324,0.030265693104452193,0.12927447995941146,0.0027397260273972603,0.08059360730593608,0.0893150684931507,0.01765601217656012,0.5054794520547945,0.5534246575342465,0.6107603301170736,0.031506849315068496,0.07277397260273973,0.04890918315575849,0.03333333333333333,0.05628276678504988,0.6775683604817898,0.00821917808219178,0.06484018264840183,0.0009132420091324201,0.0,0.0005707762557077625,0.25622961513372466,0.0039573820395738205,0.22237442922374429,0.16454696728118368,0.3851390618513906,0.36252510956028633,0.04747008887497762,0.2056609137609011,0.03159412502104624,0
Gwen,0.002191805331901948,0.1768569455022782,0.10917874396135263,0.3603607992651105,0.7552334943639292,0.05555555555555555,0.04830917874396135,0.2069975800092449,0.6607485486568299,0.7794214451801877,0.7367149758454107,0.3990393524346208,0.989141853017142,0.09178743961352658,0.9504000075448039,0.01594202898550725,0.1120504562533548,0.1292270531400966,0.1768569455022782,0.19661835748792272,0.060519702111810875,0.1337895866881374,0.0024154589371980675,0.08318236714975845,0.0893719806763285,0.026570048309178744,0.49728260869565216,0.5259661835748792,0.6027353264246333,0.035929951690821256,0.07518115942028986,0.059983896940418675,0.042421497584541064,0.06298085525138664,0.6802184558817699,0.00966183574879227,0.03743961352657005,0.0,0.0012077294685990338,0.005585748792270531,0.23550724637681153,0.004428341384863124,0.21557971014492755,0.17869504468705386,0.3503513394817742,0.39198421132901473,0.04447187854571232,0.1966016280378825,0.03167311479665351,0
Hecarim,0.002348316614340044,0.19179570341073104,0.14232548980998322,0.3610609588876981,0.7580059728922584,0.08890420399724328,0.09303928325292901,0.20454160487106643,0.6650238870297323,0.831635965313226,0.7580978635423845,0.3497336052418956,0.9893130067683205,0.16884906960716747,0.9314693681512463,0.02563749138525155,0.1779615590780305,0.2549965541006203,0.19179570341073104,0.21743625086147483,0.034638876677183836,0.14771422007810703,0.003790489317711923,0.08270158511371468,0.09427980702963475,0.02366184240753503,0.49741557546519644,0.5596140592694693,0.6123950974369562,0.04583046175051689,0.09782046864231564,0.05398575694923041,0.03807718814610613,0.04553692217372436,0.6848554718748192,0.010337698139214336,0.06271536871123363,0.0,0.0006891798759476223,0.0005168849069607167,0.26577729644580084,0.004364805881001608,0.22777394900068917,0.1464452019645865,0.39220600213019235,0.3943248357975849,0.05437239008734785,0.19403890682893166,0.03266952437800904,0
Nidalee,0.007640507640507634,0.10844978864008271,0.15596403596403594,0.31669220849366975,0.6987878787878787,0.14335664335664336,0.15874125874125875,0.20739868011913037,0.7093101810558662,0.7238744136981701,0.7944055944055944,0.40243661999799957,0.9958994495815041,0.12937062937062938,0.9241858940493086,0.036223776223776226,0.20279720279720279,0.1853146853146853,0.10844978864008271,0.1674125874125874,0.021569216833448077,0.15843045843045842,0.005594405594405594,0.05515734265734266,0.05818181818181818,0.02284382284382284,0.5096153846153846,0.527972027972028,0.5075562586207993,0.03566433566433566,0.11569055944055943,0.058119658119658114,0.029895104895104895,0.03636363636363635,0.6995518631851961,0.006293706293706294,0.028671328671328673,0.0,0.0006993006993006993,0.004807692307692308,0.2385614385614385,0.0018648018648018648,0.2304195804195804,0.21193706555653832,0.3565797838525111,0.3748225992423682,0.059045919122389136,0.21148797171108016,0.0435330063688908,1
Lillia,0.0027036249573457205,0.15669123640312876,0.12465323478789103,0.36016825068132213,0.7536026458776282,0.09000708717221828,0.08362863217576187,0.2208123521566677,0.6728620031946265,0.7691805996549979,0.7448618001417434,0.4433996852739626,0.9883826210054493,0.10205527994330262,0.9493549210054526,0.018143160878809357,0.13205764233404205,0.14599574769666904,0.15669123640312876,0.18844790928419564,0.030937898480410612,0.12111189857469092,0.004252303330970942,0.07459248759744862,0.04847625797306875,0.019844082211197732,0.49875974486180014,0.5053153791637137,0.5593165419160996,0.03171509567682495,0.0837615166548547,0.06079218836128829,0.03074060949681077,0.05262881591726381,0.68487636889721,0.004961020552799433,0.05244507441530829,0.0,0.0007087172218284905,8.858965272856131e-05,0.23731902399514015,0.004961020552799433,0.2005669737774628,0.17262272406881257,0.36337864828297145,0.36473910526113357,0.04999160496971437,0.17843874398781961,0.030227153246851764,1
Kayn,0.0040414106183911825,0.11812348809736302,0.14249412769592137,0.34989765402918827,0.7428001993024415,0.11808669656203288,0.1218236173393124,0.20451992136340816,0.6934152157151298,0.7699385122623941,0.757473841554559,0.4415868073033046,0.9909405702300588,0.08370702541106129,0.9520539059931028,0.02092675635276532,0.1356917455572164,0.10986547085201794,0.11812348809736302,0.1711509715994021,0.03879994192080647,0.13901345291479822,0.002242152466367713,0.07371076233183857,0.06397608370702541,0.03462879920279023,0.500186846038864,0.4884155455904335,0.511983398920457,0.03942451420029895,0.1000093423019432,0.05812987875768144,0.03531390134529148,0.051071250622820114,0.6904882791659442,0.004484304932735426,0.04633781763826607,0.0,0.002242152466367713,0.006352765321375187,0.22544309203502022,0.004235176880916791,0.17862481315396114,0.16027621721658142,0.334420437559451,0.35760467732152806,0.05292996363215881,0.19286106828432886,0.03518680546292123,1
